Survey,Quarter,Country,Ship,Gear,SweepLngt,GearExp,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,Stratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,Depth,HaulVal,StdSpecRecCode,BycSpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,TowDir,WindDir,WindSpeed,SwellDir,SwellHeight,ICESArea,AphiaID,Species,SpecVal,Sex,SubFactor,LngtClass,HLNoAtLngt,NoPerHaul,BeamWidth,DistanceDerived,CPUE_number_per_hour,SweptArea_km2,CPUE_number_per_km2
BTS,3,GFR,SOL,BT7,-9,-9,-9,557,1,2003,8,5,0513,-9,30,D,55.7737,6.8325,55.8015,6.8027,40F6,35,V,1,1,R,0.6000,T,5,3614,200,330,360,3,,,IVb,105865,Amblyraja radiata,,,,,,,7,3614,0.00,0.03,0.00
BTS,3,GFR,SOL,BT7,-9,-9,-9,558,2,2003,8,5,0645,-9,30,D,55.8933,6.7015,55.9207,6.6687,40F6,39,V,1,1,R,0.6000,T,5,3664,200,330,350,3,,,IVb,105865,Amblyraja radiata,,,,,,,7,3664,0.00,0.03,0.00
BTS,3,GFR,SOL,BT7,-9,-9,-9,559,3,2003,8,5,0747,-9,30,D,55.9532,6.6338,55.9808,6.6003,40F6,40,V,1,1,R,0.6000,T,5,3716,250,330,350,3,,,IVb,105865,Amblyraja radiata,,,,,,,7,3716,0.00,0.03,0.00
BTS,3,GFR,SOL,BT7,-9,-9,-9,560,4,2003,8,5,1016,-9,30,D,56.1728,6.4962,56.2028,6.4958,41F6,43,V,1,1,R,0.6000,T,5,3336,300,360,360,2,,,IVb,105865,Amblyraja radiata,,,,,,,7,3336,0.00,0.02,0.00
BTS,3,GFR,SOL,BT7,-9,-9,-9,561,5,2003,8,5,1301,-9,30,D,56.4055,6.4223,56.3892,6.4693,41F6,39,V,1,1,R,0.6000,T,5,3415,250,120,40,2,,,IVb,105865,Amblyraja radiata,1,-9,1.0000,320,1.00,1.000000,7,3415,2.00,0.02,41.83
BTS,3,GFR,SOL,BT7,-9,-9,-9,561,5,2003,8,5,1301,-9,30,D,56.4055,6.4223,56.3892,6.4693,41F6,39,V,1,1,R,0.6000,T,5,3415,250,120,40,2,,,IVb,105865,Amblyraja radiata,1,-9,1.0000,350,2.00,2.000000,7,3415,4.00,0.02,83.66
BTS,3,GFR,SOL,BT7,-9,-9,-9,561,5,2003,8,5,1301,-9,30,D,56.4055,6.4223,56.3892,6.4693,41F6,39,V,1,1,R,0.6000,T,5,3415,250,120,40,2,,,IVb,105865,Amblyraja radiata,1,-9,1.0000,370,1.00,1.000000,7,3415,2.00,0.02,41.83
BTS,3,GFR,SOL,BT7,-9,-9,-9,562,6,2003,8,5,1448,-9,30,D,56.4457,6.3282,56.4770,6.3293,41F6,40,V,1,1,R,0.6000,T,5,3485,250,360,350,3,,,IVb,105865,Amblyraja radiata,1,-9,1.0000,200,1.00,1.000000,7,3485,2.00,0.02,40.99
BTS,3,GFR,SOL,BT7,-9,-9,-9,562,6,2003,8,5,1448,-9,30,D,56.4457,6.3282,56.4770,6.3293,41F6,40,V,1,1,R,0.6000,T,5,3485,250,360,350,3,,,IVb,105865,Amblyraja radiata,1,-9,1.0000,260,2.00,2.000000,7,3485,4.00,0.02,81.98
BTS,3,GFR,SOL,BT7,-9,-9,-9,562,6,2003,8,5,1448,-9,30,D,56.4457,6.3282,56.4770,6.3293,41F6,40,V,1,1,R,0.6000,T,5,3485,250,360,350,3,,,IVb,105865,Amblyraja radiata,1,-9,1.0000,280,1.00,1.000000,7,3485,2.00,0.02,40.99
BTS,3,GFR,SOL,BT7,-9,-9,-9,562,6,2003,8,5,1448,-9,30,D,56.4457,6.3282,56.4770,6.3293,41F6,40,V,1,1,R,0.6000,T,5,3485,250,360,350,3,,,IVb,105865,Amblyraja radiata,1,-9,1.0000,350,2.00,2.000000,7,3485,4.00,0.02,81.98
BTS,3,GFR,SOL,BT7,-9,-9,-9,562,6,2003,8,5,1448,-9,30,D,56.4457,6.3282,56.4770,6.3293,41F6,40,V,1,1,R,0.6000,T,5,3485,250,360,350,3,,,IVb,105865,Amblyraja radiata,1,-9,1.0000,360,1.00,1.000000,7,3485,2.00,0.02,40.99
BTS,3,GFR,SOL,BT7,-9,-9,-9,562,6,2003,8,5,1448,-9,30,D,56.4457,6.3282,56.4770,6.3293,41F6,40,V,1,1,R,0.6000,T,5,3485,250,360,350,3,,,IVb,105865,Amblyraja radiata,1,-9,1.0000,370,1.00,1.000000,7,3485,2.00,0.02,40.99
BTS,3,GFR,SOL,BT7,-9,-9,-9,562,6,2003,8,5,1448,-9,30,D,56.4457,6.3282,56.4770,6.3293,41F6,40,V,1,1,R,0.6000,T,5,3485,250,360,350,3,,,IVb,105865,Amblyraja radiata,1,-9,1.0000,380,1.00,1.000000,7,3485,2.00,0.02,40.99
BTS,3,GFR,SOL,BT7,-9,-9,-9,562,6,2003,8,5,1448,-9,30,D,56.4457,6.3282,56.4770,6.3293,41F6,40,V,1,1,R,0.6000,T,5,3485,250,360,350,3,,,IVb,105865,Amblyraja radiata,1,-9,1.0000,440,1.00,1.000000,7,3485,2.00,0.02,40.99
BTS,3,GFR,SOL,BT7,-9,-9,-9,563,7,2003,8,6,0510,-9,30,D,56.1693,5.6765,56.1958,5.6433,41F5,53,V,1,1,R,0.6000,T,5,3591,300,320,40,1,,,IVb,105865,Amblyraja radiata,,,,,,,7,3591,0.00,0.03,0.00
BTS,3,GFR,SOL,BT7,-9,-9,-9,564,8,2003,8,6,0713,-9,30,D,56.1900,5.4782,56.1622,5.5018,41F5,55,V,1,1,R,0.6000,T,5,3424,300,160,,3,,,IVb,105865,Amblyraja radiata,,,,,,,7,3424,0.00,0.02,0.00
BTS,3,GFR,SOL,BT7,-9,-9,-9,565,9,2003,8,6,1022,-9,31,D,55.8412,5.4812,55.8102,5.4700,40F5,52,V,1,1,R,0.6000,T,5,3517,300,190,130,5,,,IVb,105865,Amblyraja radiata,,,,,,,7,3517,0.00,0.02,0.00
BTS,3,GFR,SOL,BT7,-9,-9,-9,566,10,2003,8,6,1144,-9,30,D,55.8413,5.3555,55.8597,5.3093,40F5,53,V,1,1,R,0.6000,T,5,3530,300,300,130,4,,,IVb,105865,Amblyraja radiata,,,,,,,7,3530,0.00,0.02,0.00
BTS,3,GFR,SOL,BT7,-9,-9,-9,567,11,2003,8,6,1401,-9,30,D,55.8923,4.9892,55.9237,4.9787,40F4,39,V,1,1,R,0.6000,T,5,3545,200,350,110,4,,,IVb,105865,Amblyraja radiata,1,F,1.0000,190,1.00,1.000000,7,3545,2.00,0.02,40.30
BTS,3,GFR,SOL,BT7,-9,-9,-9,568,12,2003,8,7,0510,-9,30,D,56.2188,4.5657,56.2005,4.5202,41F4,62,V,1,1,R,0.6000,T,5,3475,300,230,100,4,,,IVb,105865,Amblyraja radiata,,,,,,,7,3475,0.00,0.02,0.00
BTS,3,GFR,SOL,BT7,-9,-9,-9,569,13,2003,8,7,0650,-9,30,D,56.1297,4.3617,56.1083,4.3152,41F4,60,V,1,1,R,0.6000,T,5,3733,300,220,100,4,,,IVb,105865,Amblyraja radiata,,,,,,,7,3733,0.00,0.03,0.00
BTS,3,GFR,SOL,BT7,-9,-9,-9,570,14,2003,8,7,0905,-9,30,D,55.9488,4.4110,55.9448,4.3527,40F4,47,V,1,1,R,0.6000,T,5,3659,300,260,60,6,,,IVb,105865,Amblyraja radiata,,,,,,,7,3659,0.00,0.03,0.00
BTS,3,GFR,SOL,BT7,-9,-9,-9,571,15,2003,8,7,1142,-9,30,D,55.9875,3.9357,55.9835,3.8787,40F3,58,V,1,1,R,0.6000,T,5,3573,300,260,90,6,,,IVb,105865,Amblyraja radiata,,,,,,,7,3573,0.00,0.03,0.00
BTS,3,GFR,SOL,BT7,-9,-9,-9,572,16,2003,8,7,1254,-9,30,D,55.9580,3.8060,55.9758,3.7602,40F3,59,V,1,1,R,0.6000,T,5,3474,300,300,50,5,,,IVb,105865,Amblyraja radiata,,,,,,,7,3474,0.00,0.02,0.00
BTS,3,GFR,SOL,BT7,-9,-9,-9,573,17,2003,8,7,1422,-9,30,D,56.0530,3.6965,56.0815,3.6715,41F3,69,V,1,1,R,0.6000,T,5,3529,450,340,50,9,,,IVb,105865,Amblyraja radiata,,,,,,,7,3529,0.00,0.02,0.00
BTS,3,GFR,SOL,BT7,-9,-9,-9,574,18,2003,8,8,0511,-9,30,D,56.2408,3.6377,56.2725,3.6292,41F3,72,V,1,1,R,0.6000,T,5,3560,450,360,10,3,,,IVb,105865,Amblyraja radiata,,,,,,,7,3560,0.00,0.02,0.00
BTS,3,GFR,SOL,BT7,-9,-9,-9,575,19,2003,8,8,0923,-9,30,D,56.7438,3.5958,56.7740,3.6110,42F3,60,V,1,1,R,0.6000,T,5,3479,400,20,20,5,,,IVb,105865,Amblyraja radiata,,,,,,,7,3479,0.00,0.02,0.00
BTS,3,GFR,SOL,BT7,-9,-9,-9,576,20,2003,8,8,1152,-9,30,D,56.9387,3.7868,56.9707,3.7825,42F3,61,V,1,1,R,0.6000,T,5,3568,400,360,360,5,,,IVb,105865,Amblyraja radiata,,,,,,,7,3568,0.00,0.02,0.00
BTS,3,GFR,SOL,BT7,-9,-9,-9,577,21,2003,8,8,1330,-9,15,D,57.0578,3.7793,57.0718,3.7963,43F3,60,V,1,1,R,0.6000,T,5,1865,350,25,360,6,,,IVb,105865,Amblyraja radiata,,,,,,,7,1865,0.00,0.01,0.00
BTS,3,GFR,SOL,BT7,-9,-9,-9,578,22,2003,8,8,1505,-9,30,D,57.1978,3.8402,57.2003,3.8995,43F3,63,V,1,1,R,0.6000,T,5,3585,400,90,360,6,,,IVb,105865,Amblyraja radiata,,,,,,,7,3585,0.00,0.03,0.00
BTS,3,GFR,SOL,BT7,-9,-9,-9,579,23,2003,8,9,0509,-9,31,D,57.1993,4.0842,57.1983,4.1450,43F4,62,V,1,1,R,0.6000,T,5,3666,350,90,30,3,,,IVb,105865,Amblyraja radiata,,,,,,,7,3666,0.00,0.03,0.00
BTS,3,GFR,SOL,BT7,-9,-9,-9,580,24,2003,8,9,0705,-9,30,D,57.2675,4.3788,57.2765,4.4363,43F4,61,V,1,1,R,0.6000,T,5,3599,400,70,50,3,,,IVb,105865,Amblyraja radiata,,,,,,,7,3599,0.00,0.03,0.00
BTS,3,GFR,SOL,BT7,-9,-9,-9,581,25,2003,8,9,1132,-9,30,D,57.1082,5.2808,57.1085,5.3400,43F5,54,V,1,1,R,0.6000,T,5,3573,350,90,,0,,,IVb,105865,Amblyraja radiata,,,,,,,7,3573,0.00,0.03,0.00
BTS,3,GFR,SOL,BT7,-9,-9,-9,582,26,2003,8,9,1302,-9,30,D,57.0448,5.2443,57.0398,5.1850,43F5,56,V,1,1,R,0.6000,T,5,3632,350,250,,0,,,IVb,105865,Amblyraja radiata,,,,,,,7,3632,0.00,0.03,0.00
